epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1798.12,0.53453,0.34651,0.92013,0.93932,0.92256,0.95397,0.8208,1.02772,0.59722,1.19202,0.000551698,0.000551698,0.000551698
2,1849.81,0.56489,0.3618,0.92999,0.94004,0.90045,0.94558,0.80712,1.07208,0.71232,1.21979,0.0010964,0.0010964,0.0010964
3,1900.28,0.58285,0.37679,0.93798,0.94505,0.89284,0.94834,0.79933,1.09261,0.69355,1.22668,0.0016301,0.0016301,0.0016301
4,1948.71,0.60529,0.39235,0.94763,0.92442,0.90078,0.94073,0.78613,1.13436,0.68962,1.259,0.00161749,0.00161749,0.00161749
5,2000.43,0.60343,0.39118,0.94563,0.93307,0.90136,0.94411,0.80072,1.087,0.67807,1.21068,0.00160099,0.00160099,0.00160099
6,2049.86,0.61017,0.38946,0.94431,0.93281,0.91156,0.9484,0.80227,1.08364,0.67166,1.2163,0.00158448,0.00158448,0.00158448
7,2099.28,0.59052,0.3807,0.93757,0.93295,0.90048,0.94471,0.79874,1.08475,0.72158,1.21462,0.00156798,0.00156798,0.00156798
8,2150.76,0.57686,0.3735,0.93169,0.94242,0.91323,0.95037,0.80596,1.09438,0.64521,1.21598,0.00155148,0.00155148,0.00155148
9,2200.52,0.57655,0.37555,0.93362,0.93128,0.8909,0.94297,0.80116,1.1007,0.74947,1.23333,0.00153497,0.00153497,0.00153497
10,2249.55,0.58035,0.37605,0.93261,0.92928,0.8998,0.94219,0.80462,1.09318,0.73327,1.22397,0.00151847,0.00151847,0.00151847
11,2300.32,0.59713,0.38629,0.94335,0.93846,0.90942,0.94723,0.79027,1.13406,0.64707,1.23178,0.00150197,0.00150197,0.00150197
12,2349.21,0.60114,0.38675,0.94131,0.92973,0.90066,0.9467,0.80465,1.06639,0.69335,1.21992,0.00148546,0.00148546,0.00148546
13,2398.82,0.57239,0.368,0.93002,0.93292,0.89734,0.94622,0.80684,1.08481,0.69387,1.21943,0.00146896,0.00146896,0.00146896
14,2450.03,0.58351,0.38016,0.93936,0.93753,0.89824,0.94436,0.80503,1.07201,0.6859,1.19875,0.00145246,0.00145246,0.00145246
15,2499.82,0.57251,0.37202,0.93261,0.93099,0.89901,0.94798,0.80933,1.06132,0.69204,1.20486,0.00143595,0.00143595,0.00143595
16,2549.08,0.56725,0.36478,0.92828,0.93556,0.91203,0.94935,0.81512,1.04516,0.64004,1.20366,0.00141945,0.00141945,0.00141945
17,2599.23,0.55685,0.36039,0.92793,0.94017,0.90972,0.94571,0.80751,1.08214,0.66351,1.21682,0.00140295,0.00140295,0.00140295
18,2648.87,0.57372,0.36919,0.93618,0.93164,0.90215,0.94528,0.80583,1.06361,0.66817,1.2084,0.00138644,0.00138644,0.00138644
19,2698.09,0.56193,0.36718,0.93017,0.92622,0.90697,0.94198,0.80574,1.09311,0.68548,1.23524,0.00136994,0.00136994,0.00136994
20,2747.91,0.55675,0.36075,0.93117,0.94025,0.91014,0.94927,0.79593,1.09128,0.67835,1.22106,0.00135344,0.00135344,0.00135344
21,2797.51,0.54078,0.3508,0.92156,0.9489,0.8987,0.94925,0.81459,1.04869,0.64521,1.19559,0.00133693,0.00133693,0.00133693
