epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,220.926,1.42818,1.20584,1.07966,0.94614,0.96348,0.96667,0.68747,1.01574,63.1175,0.93543,0.000554645,0.000554645,0.000554645
2,422.983,0.97607,0.61121,0.91647,0.95941,0.97271,0.98149,0.78955,0.75543,48.9649,0.86261,0.00109314,0.00109314,0.00109314
3,621.557,0.85761,0.52462,0.88543,0.85121,0.97796,0.98822,0.81657,0.66892,36.5709,0.83626,0.00161444,0.00161444,0.00161444
4,833.871,0.7846,0.48524,0.86915,0.97554,0.97998,0.99199,0.84325,0.59536,13.6732,0.81874,0.00158964,0.00158964,0.00158964
5,1032.96,0.73769,0.44825,0.85909,0.98012,0.97387,0.99042,0.86095,0.5453,12.6326,0.80846,0.00156385,0.00156385,0.00156385
6,1246.13,0.68539,0.4247,0.84753,0.98346,0.98343,0.99319,0.86912,0.53283,9.76641,0.80847,0.00153807,0.00153807,0.00153807
7,1466.52,0.66662,0.41188,0.84485,0.95944,0.95985,0.98905,0.87035,0.50685,12.9074,0.80054,0.00151228,0.00151228,0.00151228
8,1665.72,0.64815,0.39621,0.84156,0.98581,0.98389,0.99227,0.87942,0.50567,27.0379,0.80134,0.0014865,0.0014865,0.0014865
9,1884.5,0.62218,0.38529,0.8362,0.97925,0.98111,0.99328,0.88018,0.49523,4.55253,0.79851,0.00146071,0.00146071,0.00146071
10,2114.49,0.60236,0.37233,0.8323,0.9918,0.99213,0.99425,0.90655,0.43596,0.70262,0.78719,0.00143492,0.00143492,0.00143492
11,2300.29,0.58255,0.35485,0.82895,0.99587,0.99502,0.99435,0.91273,0.41514,4.21893,0.78207,0.00140914,0.00140914,0.00140914
12,2491.87,0.56837,0.34651,0.82687,0.99336,0.99232,0.99428,0.90733,0.42164,1.59119,0.78439,0.00138335,0.00138335,0.00138335
13,2719.88,0.55598,0.34244,0.82483,0.99417,0.99456,0.99436,0.91771,0.39934,0.8022,0.78021,0.00135756,0.00135756,0.00135756
14,2919.66,0.54778,0.33586,0.82281,0.98427,0.98512,0.99327,0.91728,0.40734,7.07358,0.78396,0.00133178,0.00133178,0.00133178
15,3143.93,0.53852,0.32741,0.82157,0.9867,0.98375,0.99405,0.91736,0.4034,1.53319,0.78023,0.00130599,0.00130599,0.00130599
16,3336.79,0.53107,0.32762,0.82059,0.99614,0.99526,0.9943,0.92937,0.3817,0.79609,0.77697,0.0012802,0.0012802,0.0012802
17,3599.66,0.52276,0.32018,0.81813,0.99681,0.99708,0.99443,0.93365,0.36465,0.39705,0.77366,0.00125442,0.00125442,0.00125442
18,3990.72,0.51209,0.31574,0.81704,0.99249,0.99217,0.99424,0.93538,0.35995,2.76242,0.77309,0.00122863,0.00122863,0.00122863
19,4564.17,0.51033,0.30803,0.81681,0.99457,0.99547,0.99445,0.93783,0.35451,0.53526,0.77239,0.00120284,0.00120284,0.00120284
20,4869.53,0.49993,0.30461,0.81526,0.99683,0.99707,0.99448,0.93685,0.35435,1.1932,0.77177,0.00117706,0.00117706,0.00117706
21,5061.07,0.49279,0.30158,0.81454,0.99776,0.99758,0.99433,0.9425,0.34346,1.02071,0.76948,0.00115127,0.00115127,0.00115127
22,5255.64,0.47864,0.29104,0.81184,0.99676,0.99695,0.99432,0.94727,0.33374,0.25817,0.76816,0.00112549,0.00112549,0.00112549
23,5513.17,0.47472,0.29099,0.81119,0.99609,0.9965,0.99438,0.94498,0.33272,0.39461,0.7683,0.0010997,0.0010997,0.0010997
24,5719.72,0.46762,0.28647,0.81018,0.99782,0.99805,0.99443,0.95077,0.32591,0.33105,0.76755,0.00107391,0.00107391,0.00107391
25,5917.2,0.46218,0.28502,0.80875,0.9981,0.99793,0.99447,0.95019,0.33038,0.2314,0.76755,0.00104813,0.00104813,0.00104813
26,6103.72,0.45616,0.27852,0.80836,0.99809,0.9982,0.99454,0.95486,0.31124,0.28297,0.76454,0.00102234,0.00102234,0.00102234
27,6288.88,0.45189,0.27651,0.80723,0.998,0.99821,0.99452,0.95663,0.30357,0.21468,0.76325,0.000996553,0.000996553,0.000996553
28,6484.76,0.44372,0.27251,0.80651,0.99783,0.99781,0.99451,0.95736,0.30166,0.24468,0.76281,0.000970767,0.000970767,0.000970767
29,6938.72,0.44821,0.27713,0.8075,0.99759,0.99768,0.99446,0.9548,0.30622,2.47397,0.76325,0.000944981,0.000944981,0.000944981
30,7175.92,0.43892,0.26884,0.80515,0.99815,0.9982,0.99448,0.95851,0.30123,0.21419,0.7633,0.000919194,0.000919194,0.000919194
31,7384.63,0.42934,0.26681,0.80442,0.99821,0.99827,0.99451,0.96014,0.29784,0.23469,0.76276,0.000893408,0.000893408,0.000893408
32,7618.17,0.43098,0.26532,0.80484,0.99819,0.99824,0.9945,0.96186,0.28856,0.38039,0.76072,0.000867621,0.000867621,0.000867621
33,8174.2,0.42294,0.26305,0.80381,0.9981,0.99829,0.99455,0.96228,0.28294,0.24086,0.75983,0.000841835,0.000841835,0.000841835
34,8378.34,0.42081,0.26291,0.80339,0.99796,0.99857,0.99448,0.96395,0.28607,0.20454,0.76131,0.000816049,0.000816049,0.000816049
35,8567.28,0.41648,0.2581,0.80217,0.99831,0.99833,0.99449,0.966,0.27437,0.34095,0.75859,0.000790262,0.000790262,0.000790262
36,8789.34,0.41187,0.25471,0.80232,0.99818,0.99852,0.9945,0.96812,0.2687,0.92138,0.75792,0.000764476,0.000764476,0.000764476
37,8992.31,0.40916,0.25341,0.80134,0.99787,0.99849,0.99449,0.96724,0.27396,3.32688,0.75874,0.000738689,0.000738689,0.000738689
38,9194.26,0.40406,0.25101,0.80032,0.99806,0.99835,0.99449,0.96781,0.26825,0.23353,0.75746,0.000712903,0.000712903,0.000712903
39,9482.22,0.40076,0.24999,0.80053,0.9982,0.99855,0.99459,0.97015,0.26421,0.22499,0.75742,0.000687117,0.000687117,0.000687117
40,9700.34,0.39396,0.24661,0.79968,0.99832,0.99827,0.99453,0.9681,0.27044,0.45731,0.75821,0.00066133,0.00066133,0.00066133
41,10171.5,0.38713,0.24264,0.79871,0.99817,0.99833,0.99448,0.96858,0.26608,0.35243,0.75772,0.000635544,0.000635544,0.000635544
42,10360.2,0.38742,0.24313,0.79905,0.9985,0.99841,0.99445,0.97211,0.25797,0.17735,0.75622,0.000609757,0.000609757,0.000609757
43,10725.5,0.38908,0.24456,0.79912,0.99838,0.99843,0.99448,0.97177,0.25737,0.32819,0.75594,0.000583971,0.000583971,0.000583971
44,10957.5,0.38081,0.23943,0.79774,0.99846,0.99845,0.9945,0.97238,0.25662,0.19358,0.75617,0.000558185,0.000558185,0.000558185
45,11178.6,0.3767,0.23691,0.79748,0.99848,0.99837,0.99453,0.97417,0.25291,0.18428,0.75558,0.000532398,0.000532398,0.000532398
46,11365.4,0.37379,0.23608,0.79704,0.99847,0.99847,0.9945,0.9749,0.24935,0.19109,0.75472,0.000506612,0.000506612,0.000506612
47,11573.4,0.36781,0.23295,0.79584,0.99839,0.99847,0.99453,0.97472,0.2482,0.20795,0.75458,0.000480825,0.000480825,0.000480825
48,11799.8,0.36761,0.23311,0.79585,0.99843,0.99841,0.99452,0.97552,0.24521,0.25489,0.75415,0.000455039,0.000455039,0.000455039
49,11987.7,0.36268,0.2314,0.79543,0.99847,0.99838,0.99452,0.97555,0.24444,0.24463,0.75412,0.000429253,0.000429253,0.000429253
50,12172.9,0.36147,0.2301,0.79548,0.99835,0.99843,0.99455,0.97631,0.24374,0.41864,0.75403,0.000403466,0.000403466,0.000403466
51,12411,0.35701,0.228,0.79511,0.99849,0.99829,0.99455,0.97706,0.2414,0.41689,0.75392,0.00037768,0.00037768,0.00037768
52,12603.9,0.35341,0.2261,0.79455,0.99841,0.99839,0.99457,0.97787,0.23785,0.24465,0.75328,0.000351893,0.000351893,0.000351893
53,12852.5,0.3481,0.22294,0.79415,0.99845,0.99844,0.99457,0.97705,0.24129,0.32063,0.75368,0.000326107,0.000326107,0.000326107
54,13066.6,0.34641,0.2224,0.79335,0.99843,0.99839,0.99454,0.97774,0.23895,0.24164,0.75336,0.00030032,0.00030032,0.00030032
55,13254.6,0.30612,0.19821,0.78234,0.99844,0.99849,0.99456,0.97786,0.23726,0.23586,0.75303,0.000274534,0.000274534,0.000274534
56,13422.3,0.29356,0.19122,0.78011,0.99839,0.99854,0.99457,0.97913,0.23334,0.18598,0.75236,0.000248748,0.000248748,0.000248748
57,13590,0.28795,0.18958,0.78014,0.99846,0.99851,0.99458,0.97974,0.23056,0.17659,0.75201,0.000222961,0.000222961,0.000222961
58,13757.7,0.2816,0.1865,0.77921,0.99847,0.99853,0.99458,0.97986,0.23053,0.19354,0.75227,0.000197175,0.000197175,0.000197175
59,13925.5,0.27763,0.18417,0.77841,0.99833,0.99855,0.99458,0.98001,0.22985,0.18563,0.75236,0.000171388,0.000171388,0.000171388
60,14093,0.27136,0.18162,0.77808,0.99847,0.99848,0.99459,0.9811,0.22678,0.16708,0.7519,0.000145602,0.000145602,0.000145602
61,14260.8,0.26791,0.1801,0.77724,0.99846,0.9985,0.9946,0.98103,0.2265,0.16152,0.75191,0.000119816,0.000119816,0.000119816
62,14428.5,0.26575,0.17885,0.77675,0.99852,0.99843,0.9946,0.98141,0.22353,0.16217,0.75159,9.40292e-05,9.40292e-05,9.40292e-05
63,14596.3,0.26053,0.17685,0.77641,0.99856,0.99841,0.9946,0.98195,0.22121,0.16913,0.75111,6.82428e-05,6.82428e-05,6.82428e-05
