Timestamp (HH:MM:SS),Wolne_miejsca,Zajete_miejsca
0:00:00,19,23
0:00:00,19,23
0:00:00,19,23
0:00:00,19,23
0:00:00,19,23
0:00:00,19,23
0:00:00,19,23
0:00:00,19,23
0:00:00,17,25
0:00:00,17,25
0:00:00,17,25
0:00:00,17,25
0:00:00,17,25
0:00:00,16,26
0:00:00,16,26
0:00:00,17,25
0:00:00,17,25
0:00:00,17,25
0:00:00,19,23
0:00:00,20,22
0:00:00,17,25
0:00:00,19,23
0:00:00,20,22
0:00:00,17,25
0:00:01,18,24
0:00:01,18,24
0:00:01,17,25
0:00:01,17,25
0:00:01,17,25
0:00:01,17,25
0:00:01,16,26
0:00:01,17,25
0:00:01,17,25
0:00:01,18,24
0:00:01,19,23
0:00:01,18,24
0:00:01,19,23
0:00:01,19,23
0:00:01,19,23
0:00:01,19,23
0:00:01,17,25
0:00:01,18,24
0:00:01,18,24
0:00:01,18,24
0:00:01,17,25
0:00:01,17,25
0:00:01,17,25
0:00:01,17,25
0:00:01,15,27
0:00:02,16,26
0:00:02,16,26
0:00:02,15,27
0:00:02,15,27
0:00:02,15,27
0:00:02,16,26
0:00:02,15,27
0:00:02,15,27
0:00:02,16,26
0:00:02,20,22
0:00:02,20,22
0:00:02,20,22
0:00:02,20,22
0:00:02,20,22
0:00:02,20,22
0:00:02,20,22
0:00:02,19,23
0:00:02,19,23
0:00:02,21,21
0:00:02,19,23
0:00:02,20,22
0:00:02,20,22
0:00:02,20,22
0:00:02,21,21
0:00:02,20,22
0:00:03,20,22
0:00:03,21,21
0:00:03,22,20
0:00:03,20,22
0:00:03,20,22
0:00:03,22,20
0:00:03,23,19
0:00:03,21,21
0:00:03,20,22
0:00:03,21,21
0:00:03,21,21
0:00:03,21,21
0:00:03,21,21
0:00:03,20,22
0:00:03,17,25
0:00:03,18,24
0:00:03,17,25
0:00:03,18,24
0:00:03,18,24
0:00:03,19,23
0:00:03,20,22
0:00:03,19,23
0:00:03,20,22
0:00:03,20,22
0:00:03,19,23
0:00:04,19,23
0:00:04,19,23
0:00:04,19,23
0:00:04,18,24
0:00:04,18,24
0:00:04,18,24
0:00:04,17,25
0:00:04,17,25
0:00:04,17,25
0:00:04,18,24
0:00:04,18,24
0:00:04,18,24
0:00:04,18,24
0:00:04,18,24
0:00:04,18,24
0:00:04,19,23
0:00:04,18,24
0:00:04,21,21
0:00:04,20,22
0:00:04,19,23
0:00:04,20,22
0:00:04,19,23
0:00:04,19,23
0:00:04,19,23
0:00:04,20,22
0:00:05,21,21
0:00:05,21,21
0:00:05,23,19
0:00:05,23,19
0:00:05,19,23
0:00:05,19,23
0:00:05,20,22
0:00:05,20,22
0:00:05,20,22
0:00:05,19,23
0:00:05,20,22
0:00:05,20,22
0:00:05,20,22
0:00:05,20,22
0:00:05,20,22
0:00:05,22,20
0:00:05,21,21
0:00:05,20,22
0:00:05,18,24
0:00:05,19,23
0:00:05,19,23
0:00:05,20,22
0:00:05,20,22
0:00:05,19,23
0:00:05,20,22
0:00:06,20,22
