epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1501.1,1.3959,1.27536,1.29704,0.95149,0.95656,0.97213,0.73672,0.89293,21.2619,1.00436,0.0099954,0.0033318,0.0099954,0.0033318,0.0099954,0.0033318,0.0099954,0.0033318
2,5904.51,1.02484,0.70884,1.04975,0.95894,0.97187,0.97549,0.77327,0.73514,22.3388,0.91707,0.0199949,0.00666495,0.0199949,0.00666495,0.0199949,0.00666495,0.0199949,0.00666495
3,7262.42,0.92986,0.6272,1.00981,0.9631,0.97491,0.97959,0.8164,0.63355,30.7781,0.87921,0.0299921,0.00999738,0.0299921,0.00999738,0.0299921,0.00999738,0.0299921,0.00999738
4,8562.03,0.8301,0.5497,0.96984,0.96431,0.9746,0.98497,0.8572,0.5408,31.9711,0.84644,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
5,9828.94,0.74222,0.49899,0.94034,0.96393,0.97501,0.98634,0.87787,0.48459,32.9182,0.82801,0.029987,0.00999566,0.029987,0.00999566,0.029987,0.00999566,0.029987,0.00999566
6,15384.1,0.67772,0.46522,0.91773,0.96596,0.97537,0.98963,0.90112,0.42111,30.5991,0.80794,0.0299796,0.00999322,0.0299796,0.00999322,0.0299796,0.00999322,0.0299796,0.00999322
7,16724.2,0.63112,0.43152,0.90062,0.96614,0.97469,0.98638,0.91531,0.37489,29.4818,0.79233,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
8,17999.5,0.59417,0.41742,0.88783,0.96931,0.98094,0.99159,0.93096,0.34079,32.0787,0.77992,0.0299601,0.00998671,0.0299601,0.00998671,0.0299601,0.00998671,0.0299601,0.00998671
9,22593.2,0.56024,0.3928,0.8758,0.97647,0.97829,0.99246,0.94573,0.31519,20.682,0.7731,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264
10,23980.6,0.53425,0.37617,0.86637,0.97897,0.98296,0.99331,0.95195,0.28761,16.4235,0.76447,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
11,27400.1,0.51644,0.36516,0.86036,0.98372,0.98593,0.99351,0.96141,0.26931,11.4435,0.75917,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288
12,28682.8,0.49535,0.35063,0.8536,0.98729,0.98926,0.99375,0.96326,0.26283,17.4799,0.75718,0.0299016,0.0099672,0.0299016,0.0099672,0.0299016,0.0099672,0.0299016,0.0099672
13,32713.8,0.48748,0.33746,0.85092,0.99122,0.9908,0.99411,0.96874,0.25137,4.64921,0.75301,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
14,34004.7,0.47244,0.3292,0.8478,0.98941,0.99214,0.99396,0.96921,0.24752,9.26917,0.7541,0.0298626,0.0099542,0.0298626,0.0099542,0.0298626,0.0099542,0.0298626,0.0099542
15,37764.4,0.45907,0.32021,0.84289,0.98974,0.98991,0.9938,0.97118,0.24044,3.72397,0.75359,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469
16,39127.3,0.45037,0.31389,0.83991,0.99343,0.99475,0.99434,0.9744,0.23263,7.43666,0.75071,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
