epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.535,1.52443,1.19182,1.04257,0.9157,0.8959,0.9512,0.60924,1.29863,0.92894,0.98361,0.000332108,0.000332108,0.0671213
2,192.869,1.04341,0.63104,0.89618,0.94623,0.96516,0.98186,0.74763,0.86162,0.70986,0.86758,0.000658853,0.000658853,0.0341147
3,354.224,0.89821,0.53762,0.86388,0.9473,0.95153,0.9856,0.78034,0.7911,0.67774,0.85287,0.000978999,0.000978999,0.00110155
4,437.705,0.82007,0.49395,0.84892,0.96004,0.96906,0.98011,0.79424,0.71957,0.65215,0.8403,0.0009703,0.0009703,0.0009703
5,521.475,0.75298,0.45581,0.83702,0.97216,0.96958,0.99016,0.81944,0.65301,0.42308,0.82474,0.0009604,0.0009604,0.0009604
6,605.054,0.70362,0.43106,0.82871,0.98231,0.97276,0.99096,0.83565,0.66346,0.38917,0.82844,0.0009505,0.0009505,0.0009505
7,688.054,0.66975,0.40284,0.82359,0.98054,0.9717,0.99166,0.84964,0.5921,0.41975,0.81863,0.0009406,0.0009406,0.0009406
8,771.719,0.64166,0.3922,0.8205,0.98956,0.9872,0.99407,0.84426,0.61446,0.35052,0.82012,0.0009307,0.0009307,0.0009307
9,854.722,0.62336,0.3811,0.81733,0.97596,0.97197,0.98795,0.87385,0.50796,0.34035,0.80588,0.0009208,0.0009208,0.0009208
10,938.304,0.59489,0.36426,0.81478,0.93935,0.93625,0.99195,0.86468,0.53995,0.37994,0.81242,0.0009109,0.0009109,0.0009109
11,1022.41,0.57853,0.35381,0.81249,0.99442,0.99374,0.99428,0.89298,0.47293,0.29461,0.80199,0.000901,0.000901,0.000901
12,1105.89,0.57269,0.34922,0.81103,0.99257,0.98928,0.99405,0.89371,0.46638,0.29755,0.80044,0.0008911,0.0008911,0.0008911
13,1188.98,0.55691,0.33818,0.80887,0.99637,0.99548,0.99449,0.90446,0.44566,0.28282,0.79868,0.0008812,0.0008812,0.0008812
14,1273.06,0.53965,0.33335,0.80708,0.96896,0.97148,0.99372,0.91068,0.41866,0.31433,0.79562,0.0008713,0.0008713,0.0008713
15,1356.09,0.53081,0.32263,0.80618,0.99771,0.99697,0.99442,0.91429,0.42142,0.26661,0.79592,0.0008614,0.0008614,0.0008614
16,1438.72,0.51865,0.31486,0.80443,0.99652,0.99502,0.99428,0.90988,0.43568,0.26935,0.79821,0.0008515,0.0008515,0.0008515
17,1521.82,0.51976,0.31824,0.80534,0.99602,0.99562,0.99433,0.9125,0.41721,0.2667,0.7959,0.0008416,0.0008416,0.0008416
18,1604.47,0.50672,0.30998,0.80285,0.99586,0.99519,0.99444,0.91221,0.41436,0.26535,0.79464,0.0008317,0.0008317,0.0008317
19,1687.61,0.49793,0.30475,0.80173,0.99751,0.99728,0.99448,0.91768,0.40956,0.26056,0.79375,0.0008218,0.0008218,0.0008218
20,1771.5,0.48852,0.30209,0.80094,0.9976,0.99769,0.99446,0.92586,0.38842,0.24588,0.79302,0.0008119,0.0008119,0.0008119
