epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.4085,1.80273,1.5017,1.87992,0.81523,0.71283,0.78577,0.55824,1.91306,1.46951,1.99836,0.000551698,0.000551698,0.000551698
2,102.455,1.0918,0.71195,1.18563,0.85677,0.73442,0.83495,0.6212,1.60919,1.26973,1.62514,0.00108544,0.00108544,0.00108544
3,151.902,0.96078,0.62539,1.11105,0.83916,0.75987,0.85846,0.64871,1.53833,1.2127,1.54505,0.00159717,0.00159717,0.00159717
4,204.387,0.91614,0.60166,1.08806,0.90376,0.80295,0.8921,0.70752,1.39001,1.0211,1.42866,0.00156798,0.00156798,0.00156798
5,255.199,0.86651,0.56284,1.06275,0.90282,0.84812,0.90963,0.71221,1.38484,0.9375,1.42414,0.00153497,0.00153497,0.00153497
6,307.662,0.82818,0.53703,1.04287,0.90101,0.82946,0.90584,0.73893,1.27878,0.93077,1.36824,0.00150197,0.00150197,0.00150197
7,359.934,0.80074,0.51815,1.02762,0.90101,0.85664,0.92052,0.73175,1.27773,0.92123,1.34132,0.00146896,0.00146896,0.00146896
8,409.784,0.75502,0.49501,1.00918,0.9204,0.85791,0.92826,0.74766,1.2471,0.82356,1.32952,0.00143595,0.00143595,0.00143595
9,461.792,0.73403,0.48374,1.00319,0.90589,0.86807,0.92419,0.7577,1.24029,0.91872,1.34081,0.00140295,0.00140295,0.00140295
10,511.007,0.72226,0.47225,0.99558,0.92434,0.85222,0.92785,0.7648,1.21257,0.80476,1.29359,0.00136994,0.00136994,0.00136994
11,561.248,0.73787,0.48248,1.00749,0.90644,0.88889,0.93123,0.75716,1.23003,0.78938,1.3095,0.00133693,0.00133693,0.00133693
12,612.141,0.72389,0.46657,0.99699,0.91662,0.88372,0.93443,0.7774,1.14485,0.80914,1.26592,0.00130393,0.00130393,0.00130393
