epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,200.51,1.42818,1.20584,1.07966,0.94614,0.96348,0.96667,0.68747,1.01574,63.1175,0.93543,0.000554645,0.000554645,0.000554645
2,479.235,0.97292,0.60915,0.91523,0.9554,0.97229,0.98236,0.78415,0.74944,48.4728,0.85645,0.00103703,0.00103703,0.00103703
3,690.475,0.84812,0.51899,0.88218,0.95252,0.97036,0.99075,0.82761,0.6385,54.9726,0.82727,0.00144607,0.00144607,0.00144607
4,1251.23,0.78368,0.48308,0.86821,0.97052,0.97544,0.99233,0.84273,0.59158,13.0567,0.81666,0.00133693,0.00133693,0.00133693
5,1477.39,0.72622,0.44475,0.85625,0.97815,0.97558,0.99108,0.85076,0.58335,21.4116,0.81724,0.00122691,0.00122691,0.00122691
6,1667.94,0.61788,0.40174,0.83689,0.98428,0.98141,0.99129,0.86985,0.52245,12.6062,0.80289,0.00111689,0.00111689,0.00111689
7,1838.86,0.56111,0.3659,0.82432,0.98883,0.98864,0.99404,0.89775,0.44547,3.46056,0.78685,0.00100687,0.00100687,0.00100687
8,2010.22,0.52811,0.34287,0.81788,0.97566,0.97942,0.99365,0.90292,0.44707,11.0954,0.78897,0.000896846,0.000896846,0.000896846
9,2182.69,0.50292,0.326,0.81283,0.99524,0.99434,0.99409,0.89242,0.46258,12.2674,0.79168,0.000786824,0.000786824,0.000786824
10,2350.59,0.47492,0.30381,0.80775,0.98683,0.98613,0.99334,0.91485,0.40324,6.23444,0.77968,0.000676802,0.000676802,0.000676802
11,2516.41,0.45336,0.28936,0.80317,0.99652,0.99705,0.99427,0.92771,0.38374,3.56295,0.7777,0.00056678,0.00056678,0.00056678
12,2683.49,0.43038,0.27418,0.79967,0.99738,0.99729,0.99444,0.9358,0.35495,0.41163,0.77101,0.000456758,0.000456758,0.000456758
13,2849.29,0.4157,0.26381,0.79693,0.99789,0.99754,0.99445,0.94372,0.33721,0.31955,0.76883,0.000346736,0.000346736,0.000346736
14,3014.93,0.39087,0.25159,0.79342,0.99812,0.99778,0.99447,0.94666,0.32978,0.30715,0.76642,0.000236714,0.000236714,0.000236714
15,3180.37,0.37023,0.24058,0.79071,0.99799,0.99801,0.99447,0.95326,0.31148,0.36173,0.76385,0.000126692,0.000126692,0.000126692
